epoch,cpu,mem
1,91.0,0.5
2,106.0,0.6
3,127.0,0.6
4,148.0,0.6
5,169.0,0.6
6,94.5,0.6
7,105.0,0.6
8,115.0,0.6
9,126.0,0.6
10,136.0,0.6
11,98.0,0.6
12,105.0,0.6
13,112.0,0.6
14,119.0,0.6
15,94.5,0.6
16,99.7,0.6
17,104.0,0.6
18,110.0,0.6
19,115.0,0.6
20,96.4,0.6
21,100.0,0.6
22,104.0,0.6
23,109.0,0.6
24,113.0,0.6
25,97.8,0.6
26,101.0,0.6
27,104.0,0.6
28,108.0,0.6
29,111.0,0.6
30,98.7,0.6
31,101.0,0.6
32,104.0,0.6
33,107.0,0.6
34,110.0,0.6
35,99.5,0.6
36,102.0,0.6
37,104.0,0.6
38,107.0,0.6
39,97.6,0.6
40,100.0,0.6
41,102.0,0.6
42,104.0,0.6
43,107.0,0.6
44,98.4,0.6
45,100.0,0.6
46,102.0,0.6
47,104.0,0.6
48,106.0,0.6
49,99.0,0.6
50,100.0,0.6
51,102.0,0.6
52,104.0,0.6
53,106.0,0.6
54,99.4,0.6
55,101.0,0.6
56,102.0,0.6
57,104.0,0.6
58,106.0,0.6
59,99.7,0.6
60,101.0,0.6
61,103.0,0.6
62,104.0,0.6
63,98.6,0.6
64,100.0,0.6
65,101.0,0.6
66,103.0,0.6
67,104.0,0.6
68,99.0,0.6
69,100.0,0.6
70,101.0,0.6
71,103.0,0.6
72,104.0,0.6
73,99.3,0.6
74,100.0,0.6
75,102.0,0.6
76,103.0,0.6
77,104.0,0.6
78,99.7,0.6
79,100.0,0.6
80,102.0,0.6
81,103.0,0.6
82,98.7,0.6
83,99.9,0.6
84,101.0,0.6
85,102.0,0.6
86,103.0,0.6
87,99.1,0.6
88,100.0,0.6
89,101.0,0.6
90,102.0,0.6
91,103.0,0.6
92,99.3,0.6
93,100.0,0.6
94,101.0,0.6
95,102.0,0.6
96,103.0,0.6
97,99.6,0.6
98,100.0,0.6
99,101.0,0.6
100,102.0,0.6
101,103.0,0.6
102,99.8,0.6
103,100.0,0.6
104,101.0,0.6
105,102.0,0.6
106,99.1,0.6
107,100.0,0.6
108,100.0,0.6
109,101.0,0.6
110,102.0,0.6
111,99.3,0.6
112,100.0,0.6
113,101.0,0.6
114,102.0,0.6
115,102.0,0.6
116,99.6,0.6
117,100.0,0.6
118,101.0,0.6
119,102.0,0.6
120,102.0,0.6
121,99.8,0.6
122,100.0,0.6
123,101.0,0.6
124,102.0,0.6
125,99.1,0.6
126,99.9,0.6
127,100.0,0.6
128,101.0,0.6
129,102.0,0.6
130,99.3,0.6
131,100.0,0.6
132,100.0,0.6
133,101.0,0.6
134,102.0,0.6
135,99.5,0.6
136,100.0,0.6
137,101.0,0.6
138,101.0,0.6
139,102.0,0.6
140,99.7,0.0
