epoch,cpuset,gpuset,onlylp
1,0.355404,0.187154,0.149329
2,0.298993,0.185526,0.155167
3,0.254141,0.183401,0.145841
4,0.361436,0.184140,0.142896
5,0.252914,0.183470,0.145824
6,0.250097,0.180722,0.151518
7,0.247590,0.177794,0.142537
8,0.242487,0.173604,0.143826
9,0.238003,0.166667,0.152570
10,0.233567,0.164015,0.145748
11,0.229999,0.159438,0.150250
12,0.225816,0.154289,0.137497
13,0.219679,0.149658,0.152773
14,0.212267,0.144532,0.153004
15,0.209843,0.141136,0.155326
16,0.207609,0.138574,0.147116
17,0.206321,0.138777,0.138355
18,0.208261,0.137716,0.151027
19,0.207137,0.136925,0.144735
20,0.204625,0.137111,0.136923
21,0.203086,0.136637,0.145373
22,0.205277,0.137056,0.145466
23,0.204379,0.137402,0.149156
24,0.204062,0.136200,0.141371
25,0.204191,0.135608,0.147320
26,0.206141,0.135641,0.149009
27,0.207926,0.135837,0.147462
28,0.217591,0.134507,0.142559
29,0.265288,0.134846,0.147154
30,0.258049,0.136449,0.144294
31,0.264008,0.135919,0.158026
32,0.203689,0.135522,0.148308
33,0.202581,0.135663,0.143334
34,0.214044,0.134956,0.136734
35,0.265722,0.134458,0.139076
36,0.267608,0.135183,0.143180
37,0.260666,0.135163,0.147341
38,0.264047,0.134542,0.148529
39,0.263880,0.134607,0.144694
40,0.203524,0.134201,0.152079
41,0.201512,0.134215,0.150277
42,0.201544,0.134223,0.146406
43,0.200467,0.134030,0.155473
44,0.201333,0.134457,0.143462
45,0.198808,0.134650,0.151680
46,0.201234,0.135050,0.150754
47,0.201455,0.135210,0.147040
48,0.201136,0.134929,0.155351
49,0.201634,0.134418,0.150313
50,0.201653,0.134860,0.144436
51,0.203358,0.135077,0.140733
52,0.201578,0.134651,0.141495
53,0.202600,0.134939,0.138872
54,0.201708,0.135011,0.148612
55,0.206576,0.137247,0.143671
56,0.203873,0.135949,0.150519
57,0.202893,0.136042,0.136432
58,0.202278,0.136333,0.151940
59,0.203583,0.135314,0.138019
60,0.201607,0.135077,0.138642
61,0.226322,0.135118,0.143416
62,0.164102,0.134846,0.144851
63,0.208898,0.134420,0.152242
64,0.202413,0.135909,0.145137
65,0.199595,0.136117,0.144618
66,0.197698,0.135079,0.147479
67,0.260591,0.134449,0.143070
68,0.242329,0.134637,0.144312
69,0.287424,0.135720,0.138022
70,0.246860,0.135331,0.147601
71,0.263272,0.135237,0.144953
72,0.253150,0.133495,0.146256
73,0.254761,0.134791,0.139970
74,0.209821,0.133754,0.138842
75,0.205940,0.133051,0.148131
76,0.204621,0.133217,0.143748
77,0.201376,0.133352,0.147426
78,0.200678,0.133930,0.150660
79,0.200182,0.134010,0.154240
80,0.200594,0.133544,0.151624
81,0.204859,0.134615,0.139533
82,0.200581,0.134641,0.149684
83,0.207758,0.133200,0.138399
84,0.263571,0.134504,0.146650
85,0.203978,0.133328,0.148189
86,0.201535,0.134450,0.143455
87,0.202519,0.133802,0.149302
88,0.201730,0.133723,0.142427
89,0.203263,0.132202,0.134461
90,0.204076,0.134035,0.145267
91,0.198818,0.133680,0.140259
92,0.263226,0.143370,0.145702
93,0.203078,0.132982,0.142419
94,0.293966,0.133725,0.150040
95,0.262191,0.134106,0.147223
96,0.242353,0.132165,0.141530
97,0.280766,0.132056,0.145092
98,0.204918,0.133542,0.138837
99,0.200535,0.132810,0.137703
100,0.201429,0.134633,0.147098
101,0.246661,0.134953,0.138465
102,0.240839,0.133663,0.157599
103,0.201235,0.134959,0.142253
104,0.205658,0.134684,0.150758
105,0.200532,0.134969,0.145031
106,0.201832,0.134716,0.138751
107,0.202990,0.134587,0.145834
108,0.201451,0.134233,0.143472
109,0.255572,0.134712,0.139774
110,0.200435,0.134626,0.156497
111,0.200921,0.135291,0.145313
112,0.200438,0.134929,0.148587
113,0.202535,0.134985,0.134883
114,0.201356,0.134265,0.142184
115,0.207077,0.134731,0.153197
116,0.203241,0.135123,0.145991
117,0.201159,0.135418,0.138022
118,0.196209,0.136246,0.139206
119,0.266931,0.135400,0.148970
120,0.262069,0.135951,0.145306
121,0.200742,0.136013,0.148170
122,0.200889,0.136840,0.148045
123,0.200586,0.136109,0.142139
124,0.268521,0.136274,0.150227
125,0.200621,0.135995,0.147760
126,0.207403,0.136953,0.157599
127,0.201807,0.135680,0.144843
128,0.206900,0.135857,0.133118
129,0.203651,0.136673,0.138311
130,0.202044,0.136042,0.132976
131,0.202916,0.135125,0.134333
132,0.201752,0.135311,0.145118
133,0.202980,0.135492,0.142714
134,0.202209,0.135367,0.146838
135,0.203210,0.136753,0.150608
136,0.204907,0.136195,0.149447
137,0.201593,0.135679,0.142032
138,0.205128,0.135960,0.148776
139,0.204408,0.135897,0.136069
140,0.206819,0.135765,0.142019
141,0.201686,0.136043,0.145599
142,0.201705,0.135897,0.150328
143,0.201631,0.136419,0.142630
144,0.202187,0.135274,0.138031
145,0.203223,0.135296,0.144047
146,0.277425,0.135555,0.147636
147,0.254341,0.135112,0.146113
148,0.254289,0.135825,0.150498
149,0.265186,0.135490,0.142015
150,0.245200,0.135614,0.151969
151,0.201557,0.135177,0.148141
152,0.201647,0.135079,0.154803
153,0.201699,0.135739,0.146540
154,0.202807,0.135706,0.141102
155,0.202188,0.135439,0.144585
156,0.202156,0.135272,0.148665
157,0.208250,0.135307,0.140601
158,0.202276,0.136000,0.143005
159,0.203507,0.135174,0.137052
160,0.201632,0.135085,0.139675
161,0.204030,0.135425,0.147269
162,0.294717,0.134888,0.143159
163,0.204140,0.135646,0.140823
164,0.203755,0.135253,0.144385
165,0.206565,0.135677,0.146987
166,0.201943,0.139915,0.148421
167,0.201380,0.135862,0.153350
168,0.205417,0.135587,0.139533
169,0.201596,0.135527,0.146283
170,0.202268,0.135767,0.134389
171,0.217354,0.135991,0.147291
172,0.264740,0.135219,0.138033
173,0.201420,0.135402,0.147817
174,0.187704,0.135094,0.152640
175,0.202683,0.136506,0.145288
176,0.201525,0.136224,0.139251
177,0.291702,0.135967,0.140189
178,0.246560,0.136500,0.144248
179,0.202893,0.135799,0.140389
180,0.185182,0.135668,0.145074
181,0.205232,0.135819,0.142059
182,0.201844,0.135572,0.137764
183,0.203483,0.136095,0.135322
184,0.203260,0.135478,0.141676
185,0.204354,0.137936,0.144826
186,0.201739,0.135147,0.140512
187,0.207019,0.135601,0.151373
188,0.203638,0.135748,0.148863
189,0.202365,0.135752,0.144568
190,0.247114,0.136013,0.132139
191,0.210110,0.135905,0.149964
192,0.202343,0.136547,0.148946
193,0.202217,0.135931,0.141001
194,0.207427,0.137210,0.147421
195,0.205013,0.136075,0.144908
196,0.204948,0.136559,0.146527
197,0.204270,0.136326,0.140050
198,0.202872,0.136123,0.141047
199,0.203807,0.136001,0.145800
200,0.265257,0.136527,0.139337
